timestamp,action,ticker,price,qty,value,reason,strategy,rsi,macd,signal,bb_upper,bb_mid,bb_lower,volume_ratio,pnl_pct,pnl_krw,entry,tp,sl
2025-10-20 00:46:07,SELL_SIGNAL,KRW-ETH,6024500.00,0,0,hold,보유중 (+0.11%),0,0,0,0,0,0,0,+0.11,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:07,SELL_SIGNAL,KRW-META,24.45,0,0,hold,보유중 (-0.20%),0,0,0,0,0,0,0,-0.20,0,24.50,25.60,23.89
2025-10-20 00:46:07,SELL_SIGNAL,KRW-MIRA,475.50,0,0,hold,보유중 (-0.31%),0,0,0,0,0,0,0,-0.31,0,477.00,498.46,465.07
2025-10-20 00:46:08,SELL_SIGNAL,KRW-ETH,6024000.00,0,0,hold,보유중 (+0.10%),0,0,0,0,0,0,0,+0.10,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:12,SELL_SIGNAL,KRW-META,24.45,0,0,hold,보유중 (-0.20%),0,0,0,0,0,0,0,-0.20,0,24.50,25.60,23.89
2025-10-20 00:46:12,SELL_SIGNAL,KRW-MIRA,475.50,0,0,hold,보유중 (-0.31%),0,0,0,0,0,0,0,-0.31,0,477.00,498.46,465.07
2025-10-20 00:46:14,SELL_SIGNAL,KRW-ETH,6023500.00,0,0,hold,보유중 (+0.09%),0,0,0,0,0,0,0,+0.09,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:18,SELL_SIGNAL,KRW-META,24.45,0,0,hold,보유중 (-0.20%),0,0,0,0,0,0,0,-0.20,0,24.50,25.60,23.89
2025-10-20 00:46:18,SELL_SIGNAL,KRW-MIRA,475.50,0,0,hold,보유중 (-0.31%),0,0,0,0,0,0,0,-0.31,0,477.00,498.46,465.07
2025-10-20 00:46:20,SELL_SIGNAL,KRW-ETH,6023500.00,0,0,hold,보유중 (+0.09%),0,0,0,0,0,0,0,+0.09,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:22,SELL_SIGNAL,KRW-ETH,6022500.00,0,0,hold,보유중 (+0.07%),0,0,0,0,0,0,0,+0.07,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:23,SELL_SIGNAL,KRW-META,24.45,0,0,hold,보유중 (-0.20%),0,0,0,0,0,0,0,-0.20,0,24.50,25.60,23.89
2025-10-20 00:46:23,SELL_SIGNAL,KRW-MIRA,475.50,0,0,hold,보유중 (-0.31%),0,0,0,0,0,0,0,-0.31,0,477.00,498.46,465.07
2025-10-20 00:46:28,SELL_SIGNAL,KRW-ETH,6024000.00,0,0,hold,보유중 (+0.10%),0,0,0,0,0,0,0,+0.10,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:28,SELL_SIGNAL,KRW-META,24.45,0,0,hold,보유중 (-0.20%),0,0,0,0,0,0,0,-0.20,0,24.50,25.60,23.89
2025-10-20 00:46:28,SELL_SIGNAL,KRW-MIRA,475.50,0,0,hold,보유중 (-0.31%),0,0,0,0,0,0,0,-0.31,0,477.00,498.46,465.07
2025-10-20 00:46:33,SELL_SIGNAL,KRW-ETH,6024000.00,0,0,hold,보유중 (+0.10%),0,0,0,0,0,0,0,+0.10,0,6018000.00,6288810.00,5867550.00
2025-10-20 00:46:33,SELL_SIGNAL,KRW-META,24.45,0,0,hold,보유중 (-0.20%),0,0,0,0,0,0,0,-0.20,0,24.50,25.60,23.89
